VSCVER_ID,TRIP_NO,TRIP_ID,START_PLACE,END_PLACE,START_TIME,END_TIME
161078,251992707,88354089,IrvBwy,IrvHar,1277100,1302300
161078,251992708,88354131,IrvBwy,FprHar,1204500,1232400
161078,251992709,     191,IrvBwy,IrvCum,1120800,1153500
161078,251992711,88354073,IrvBwy,IrvCum,1068900,1107900
161078,251992712,     149,IrvBwy,IrvCum,1021500,1061700
161078,251992714,     215,IrvBwy,IrvHar,1041300,1077600
161078,251992716,     198,IrvBwy,IrvCum,1109100,1143600
161078,251992718,88354088,IrvBwy,IrvHar,1264800,1290000
161078,251992719,88354081,IrvBwy,FprHar,1192500,1220400
161078,251992723,     200,IrvBwy,IrvCum,1097400,1132800
161078,251992725,88354067,IrvBwy,IrvCum,1008600,1048800
161078,251992730,88354066,IrvBwy,IrvCum,997500,1037700
161078,251992731,     103,IrvBwy,IrvCum,931200,967500
161078,251992734,88354096,IrvBwy,IrvCum,978300,1021800
161078,251992739,     212,IrvBwy,IrvHar,1028100,1064400
161078,251992740,88354079,IrvBwy,FprHar,1168500,1196700
161078,251992742,     206,IrvBwy,IrvCum,1078200,1116300
161078,251992743,88354101,IrvBwy,IrvCum,980700,1024200
161078,251992744,     101,IrvBwy,IrvCum,905100,940800
161078,251992745,88354092,IrvBwy,IrvCen,1314900,1334700
161078,251992750,88354086,IrvBwy,FprHar,1240500,1268400
161078,251992752,     102,IrvBwy,IrvCum,913800,949500
161078,251992753,     143,IrvBwy,IrvHar,992700,1029000
161078,251992763,     124,IrvBwy,IrvCum,972000,1012500
161078,251992764,     145,IrvBwy,IrvHar,1002600,1038900
161078,251992767,88354062,IrvBwy,IrvCum,774600,807300
161078,251992768,      95,IrvBwy,IrvCum,861300,896100
161078,251992770,     217,IrvBwy,IrvHar,1054500,1090500
161078,251992773,      78,IrvBwy,IrvCum,824700,858600
161078,251992777,      55,IrvBwy,IrvCum,743400,774000
161078,251992782,     123,IrvBwy,IrvCum,964500,1004100
161078,251992784,      98,IrvBwy,IrvCum,879000,914100
161078,251992785,88354087,IrvBwy,FprHar,1252500,1280400
161078,251992786,     121,IrvBwy,IrvCum,948600,986400
161078,251992787,88354071,IrvBwy,IrvCum,1047900,1087800
161078,251992788,      99,IrvBwy,IrvCum,896400,931500
161078,251992790,      76,IrvBwy,IrvCum,816300,850200
161078,251992792,88354105,IrvBwy,IrvCum,957000,995700
161078,251992794,     142,IrvBwy,IrvCum,987900,1028400
161078,251992795,      96,IrvBwy,IrvCum,870300,905100
161078,251992797,     194,IrvBwy,IrvCum,1144500,1176000
161078,251992798,88354072,IrvBwy,IrvCum,1061400,1100700
161078,251992803,88354093,IrvBwy,IrvCen,1327500,1347300
161078,251992804,88354074,IrvBwy,IrvCum,1087500,1123800
161078,251992807,88357437,IrvBwy,IrvCum,843000,876900
161078,251992812,88354061,IrvBwy,IrvCum,761700,792300
161078,251992814,88354085,IrvBwy,FprHar,1228500,1256400
161078,251992816,88357438,IrvBwy,IrvCum,887700,923100
161078,251992818,88354080,IrvBwy,FprHar,1180500,1208700
161078,251992819,88357436,IrvBwy,IrvCum,807900,840600
161078,251992824,88354091,IrvBwy,IrvHar,1302300,1327500
161078,251992827,      51,IrvBwy,IrvCum,782700,815400
161078,251992829,      73,IrvBwy,IrvCum,791100,823800
161078,251992830,88354134,IrvBwy,IrvCum,1156500,1188000
161078,251992831,      75,IrvBwy,IrvCum,799500,832200
161078,251992833,      46,IrvBwy,IrvHar,716100,744900
161078,251992835,88354084,IrvBwy,FprHar,1216500,1244400
161078,251992836,      41,IrvBwy,FprHar,693900,723300
161078,251992841,88354058,IrvBwy,IrvCum,720900,752400
161078,251992845,      22,IrvBwy,IrvCum,664800,697800
161078,251992846,      23,IrvBwy,IrvCum,686400,719400
161078,251992850,88354059,IrvBwy,IrvHar,737400,764700
161078,251992851,     213,IrvBwy,IrvCum,1034700,1074900
161078,251992855,     110,IrvBwy,IrvCum,939900,977100
161078,251992856,      80,IrvBwy,IrvCum,833700,867600
161078,251992857,      94,IrvBwy,IrvCum,852300,886200
161078,251992858,88354090,IrvBwy,IrvHar,1289700,1314900
161078,251992859,      48,IrvBwy,IrvHar,726000,753900
161078,251992860,      16,IrvBwy,IrvCum,652800,683700
161078,251992861,      57,IrvBwy,IrvHar,749400,776700
161078,251992863,      60,IrvBwy,IrvCum,768000,798600
161078,251992866,88357439,IrvBwy,IrvCum,922500,958800
161078,251992868,88354055,IrvBwy,IrvCum,699600,732000
161078,251992869,      44,IrvBwy,IrvHar,707400,736200
161078,251992884,      53,IrvBwy,IrvCum,731400,762600
161078,251992885,      24,IrvBwy,IrvCum,675600,708600
161078,251992887,     193,IrvBwy,IrvCum,1132500,1164900
161078,251992888,88354056,IrvBwy,IrvCum,711300,743400
161078,251992889,      58,IrvBwy,IrvCum,755400,786000
161078,251992890,      43,IrvBwy,IrvCum,703500,735900
161078,251992891,88354068,IrvBwy,IrvHar,1014900,1051200
161078,251992893,      14,IrvBwy,IrvCum,616800,642900
161078,251992898,       2,IrvBwy,IrvCum,604800,630900
161078,251992899,88354113,IrvBwy,IrvCum,640800,668400
161078,251992901,88354109,IrvBwy,IrvCum,628800,654900
161078,251992909,       7,IrvBwy,IrvCum,592800,618900
161078,251992915,       6,IrvBwy,IrvCum,580800,606900
161078,251992975,88357544,IrvBwy,IrvHar,953700,991200
161078,251992976,88354101,IrvBwy,IrvCum,983100,1023600
161078,251992977,88354096,IrvBwy,IrvCum,978300,1018800
161078,251992980,88357550,IrvBwy,IrvHar,973500,1012500
161078,251992988,88357543,IrvBwy,IrvHar,951300,988200
