VSCVER_ID,TRIP_NO,TRIP_ID,START_PLACE,END_PLACE,START_TIME,END_TIME
156668,248543152,     121,IrvBwy,IrvCum,948900,989700
156668,248543156,88354096,IrvBwy,IrvCum,978300,1018800
156668,248543159,88357549,IrvBwy,IrvHar,975900,1014900
156668,248543160,88357550,IrvBwy,IrvHar,973500,1012500
156670,248543494,22224557,IrvBwy,IrvCum,1112700,1143300
156670,248543496,22224539,IrvBwy,IrvCum,941400,979200
156670,248543501,22224559,IrvBwy,IrvCum,1136100,1166700
156670,248543502,22224519,IrvBwy,IrvCum,752100,783300
156670,248543503,22224525,IrvBwy,IrvCum,813300,849600
156670,248543506,22224553,IrvBwy,IrvCum,1073700,1108800
156670,248543507,22224526,IrvBwy,IrvCum,822900,859200
156670,248543510,22224574,IrvBwy,IrvCum,655200,680700
156670,248543512,22224512,IrvBwy,IrvCum,639600,664200
156670,248543513,22224518,IrvBwy,IrvCum,741300,772500
156670,248543517,22224511,IrvBwy,IrvCum,623400,647400
156670,248544069,22224543,IrvBwy,IrvCum,978000,1015200
156670,248544070,22224556,IrvBwy,IrvCum,1102500,1133100
156670,248544071,22224535,IrvBwy,IrvCum,906300,944100
156670,248544076,22224513,IrvBwy,IrvCum,670200,696900
156670,248544078,22224508,IrvBwy,FprHar,574200,596100
156670,248544080,22224569,IrvBwy,IrvHar,1269000,1293300
156670,248544082,22224567,IrvBwy,FprHar,1239900,1265700
156670,248544083,22224548,IrvBwy,IrvCum,1025700,1062000
156670,248544085,22224570,IrvBwy,IrvHar,1284000,1308300
156670,248544086,22224510,IrvBwy,IrvCum,607200,630900
156670,248544087,22224527,IrvBwy,IrvCum,832200,868500
156670,248544088,22224537,IrvBwy,IrvCum,924000,961800
156670,248544094,22224563,IrvBwy,FprHar,1185900,1213500
156670,248544095,22224546,IrvBwy,IrvCum,1006500,1043700
156670,248544098,22224555,IrvBwy,IrvCum,1092900,1125000
156670,248544102,22224545,IrvBwy,IrvCum,996900,1034100
156670,248544107,22224509,IrvBwy,IrvCum,591000,614700
156670,248544213,22224536,IrvBwy,IrvCum,915300,953100
156670,248544234,22224514,IrvBwy,IrvCum,685200,714300
156670,248544279,22224507,IrvBwy,IrvCen,1329000,1345800
156670,248544286,22224572,IrvBwy,IrvCen,1314000,1330800
156670,248544304,22224523,IrvBwy,IrvCum,794100,830400
156670,248544311,22224515,IrvBwy,IrvCum,700200,729300
156670,248544330,22224562,IrvBwy,FprHar,1173300,1200900
156670,248544383,22224564,IrvBwy,FprHar,1198800,1224600
156670,248544392,22224565,IrvBwy,FprHar,1212000,1237800
156670,248544396,22224520,IrvBwy,IrvCum,762600,793800
156670,248544402,22224568,IrvBwy,FprHar,1254300,1279200
156670,248544408,22224533,IrvBwy,IrvCum,888000,925800
156670,248544409,22224561,IrvBwy,IrvCum,1160700,1191000
156670,248544413,22224517,IrvBwy,IrvCum,729300,760500
156670,248544415,22224516,IrvBwy,IrvCum,714900,744000
156670,248544999,22224560,IrvBwy,IrvCum,1148400,1179000
156670,248545000,22224566,IrvBwy,FprHar,1225500,1251300
156670,248545001,22224571,IrvBwy,IrvHar,1299000,1321200
156670,248545005,22224549,IrvBwy,IrvCum,1035300,1071000
156670,248545006,22224552,IrvBwy,IrvCum,1064100,1099200
156670,248545007,22224554,IrvBwy,IrvCum,1083300,1118100
156670,248545008,22224558,IrvBwy,IrvCum,1124100,1154700
156670,248545014,22224547,IrvBwy,IrvCum,1016100,1053000
